期号_源,期号_目标,Top1_命中,Top2_命中,Top3_命中,Top4_命中,Top5_命中,补漏6_命中,后区_命中,号码池_命中数,号码池_命中率,Top5_联合覆盖,Top5+补漏6_联合覆盖,补漏6_增补,Top1_号码,Top2_号码,Top3_号码,Top4_号码,Top5_号码,补漏6_号码,目标前区,目标后区
2026044,2026054,1,0,2,1,0,1,2,5,100.0%,3,4,1,"4 8 22 23 26","13 25 28 29 32","2 3 18 24 26","9 22 23 26 33","3 12 23 26 27","5 6 11 19 21","2 6 14 22 24","8 11"
2026045,2026055,0,1,0,1,0,0,1,2,40.0%,2,2,0,"3 12 13 21 26","22 25 26 33 34","2 3 15 21 24","13 26 31 32 35","3 12 14 23 26","1 4 5 6 16","9 10 20 33 35","4 11"
2026046,2026056,0,0,2,0,1,0,1,2,40.0%,2,2,0,"3 12 13 23 33","14 26 28 32 33","2 3 13 18 21","3 12 13 27 31","3 11 13 18 22","5 9 15 19 29","6 7 18 21 30","1 5"
2026047,2026057,1,2,1,1,1,0,1,4,80.0%,4,4,0,"3 8 21 22 25","23 26 28 29 33","12 13 21 23 33","3 8 9 21 27","3 8 22 24 26","10 11 18 19 20","23 25 26 27 34","4 10"
2026048,2026058,2,0,1,1,2,1,1,5,100.0%,3,4,1,"12 13 21 23 35","3 5 9 17 26","11 13 22 23 33","3 15 21 27 34","3 12 13 21 25","14 18 19 20 24","7 12 13 18 34","1 5"
2026049,2026059,2,0,1,1,0,0,2,4,80.0%,3,3,0,"3 12 15 17 26","5 11 14 27 33","3 12 13 16 21","3 12 14 18 26","3 12 14 15 23","2 4 9 22 24","6 13 17 19 26","7 8"
2026050,2026060,0,1,1,0,0,0,2,2,40.0%,2,2,0,"9 10 13 26 33","3 6 13 23 34","3 10 14 16 22","4 12 13 23 33","10 11 13 26 33","5 7 8 21 24","22 28 30 31 34","1 5"
2026051,2026061,2,1,2,1,0,0,1,4,80.0%,3,3,0,"12 13 23 31 33","3 8 12 14 30","12 13 18 26 34","12 13 21 28 33","11 13 23 32 33","2 4 22 24 29","10 12 26 31 35","2 12"
2026052,2026062,0,1,0,1,0,1,2,2,40.0%,1,2,1,"2 3 21 23 33","3 4 18 20 22","3 13 23 28 32","2 3 14 20 26","1 3 22 23 33","5 12 29 30 34","7 15 20 24 29","4 10"
2026053,2026063,1,1,1,0,0,1,2,4,80.0%,3,4,1,"12 14 20 26 33","13 14 29 32 34","3 9 12 14 21","2 12 14 22 23","1 9 12 14 33","4 5 10 15 24","3 15 20 29 31","1 12"
2026054,2026064,1,2,0,1,1,1,1,4,80.0%,3,4,1,"2 3 14 20 26","3 4 13 22 23","14 24 26 32 33","3 6 12 14 23","14 21 25 26 33","1 5 9 11 15","3 13 15 17 21","2 7"
2026055,2026065,1,0,1,1,1,2,1,4,80.0%,1,3,2,"5 9 13 33 34","14 17 29 33 35","3 9 13 20 23","2 9 13 33 34","10 13 23 33 34","6 8 11 12 19","4 11 12 13 25","4 8"
2026056,2026066,0,1,1,0,1,1,1,3,60.0%,2,3,1,"2 3 14 20 26","13 22 28 31 33","3 6 9 20 21","3 6 17 18 33","3 5 20 21 26","4 8 10 12 23","10 13 19 21 30","4 5"
2026057,2026067,0,0,0,1,0,2,1,3,60.0%,1,3,2,"9 23 24 26 33","2 3 21 23 25","13 23 26 27 35","22 23 26 28 34","3 20 23 26 29","6 14 17 19 32","6 16 18 19 28","7 11"
2026058,2026068,1,1,1,1,3,1,0,5,100.0%,3,4,1,"12 14 18 26 33","10 12 13 28 34","6 8 12 17 34","2 12 13 23 33","3 12 13 22 33","4 9 11 16 32","3 11 12 21 22","6 10"
2026059,2026069,1,1,1,0,2,1,1,5,100.0%,3,4,1,"3 12 14 18 26","6 12 13 23 33","17 26 27 29 33","3 9 13 14 22","3 12 13 19 26","2 4 7 16 24","12 19 21 24 29","3 10"
